Date,Product,Region,Salesperson,Quantity,UnitPrice,Sales
2025-01-28,Smartwatch,North,Alice,12,814,9768
2025-01-07,Camera,North,Bob,5,858,4290
2025-03-14,Printer,North,Ethan,2,901,1802
2025-03-13,Camera,South,Ethan,5,875,4375
2025-01-12,Smartwatch,Central,Charlie,12,825,9900
2025-02-03,Phone,East,Bob,4,299,1196
2025-02-02,Laptop,East,Charlie,11,1044,11484
2025-02-17,Phone,East,Bob,7,178,1246
2025-01-23,Tablet,East,Charlie,6,1055,6330
2025-03-03,Phone,South,Ethan,14,1978,27692
2025-03-29,Phone,West,Ethan,2,955,1910
2025-02-06,Smartwatch,Central,Alice,12,1296,15552
2025-02-13,Smartwatch,North,Charlie,11,566,6226
2025-03-27,Smartwatch,West,Diana,11,680,7480
2025-02-04,Camera,East,Alice,13,1539,20007
2025-03-06,Tablet,West,Charlie,5,1039,5195
2025-02-16,Smartwatch,Central,Charlie,7,548,3836
2025-03-19,Laptop,North,Alice,11,186,2046
2025-01-03,Camera,North,Ethan,7,200,1400
2025-01-01,Headphones,Central,Charlie,5,1131,5655
2025-01-05,Laptop,Central,Ethan,12,944,11328
2025-03-31,Printer,East,Alice,9,1323,11907
2025-01-14,Printer,North,Ethan,4,1628,6512
2025-01-27,Laptop,West,Bob,11,186,2046
2025-01-09,Smartwatch,South,Diana,3,142,426
2025-03-20,Headphones,South,Charlie,4,1508,6032
2025-01-15,Headphones,Central,Diana,5,1744,8720
2025-03-31,Camera,East,Ethan,13,1558,20254
2025-02-11,Headphones,South,Charlie,6,507,3042
2025-03-18,Printer,North,Ethan,3,1606,4818
2025-02-20,Tablet,Central,Bob,2,763,1526
2025-03-04,Smartwatch,West,Alice,14,1140,15960
2025-02-21,Headphones,Central,Charlie,13,1768,22984
2025-01-04,Camera,West,Bob,4,247,988
2025-01-23,Printer,Central,Bob,5,376,1880
2025-01-15,Tablet,Central,Charlie,4,331,1324
2025-02-12,Phone,Central,Ethan,14,1949,27286
2025-01-29,Phone,West,Bob,11,465,5115
2025-02-05,Tablet,West,Diana,13,1351,17563
2025-01-13,Printer,Central,Bob,12,1774,21288
2025-02-01,Camera,South,Ethan,3,535,1605
2025-03-12,Tablet,East,Ethan,8,498,3984
2025-02-28,Smartwatch,East,Diana,10,1334,13340
2025-03-27,Smartwatch,East,Bob,4,1514,6056
2025-01-28,Phone,West,Ethan,14,598,8372
2025-03-07,Headphones,West,Charlie,2,639,1278
2025-02-11,Camera,South,Alice,2,662,1324
2025-02-14,Phone,East,Alice,1,1614,1614
2025-03-03,Headphones,East,Alice,13,541,7033
2025-02-26,Headphones,Central,Bob,4,1384,5536
2025-01-06,Smartwatch,West,Diana,10,872,8720
2025-01-28,Printer,East,Ethan,9,449,4041
2025-01-28,Laptop,South,Charlie,14,1475,20650
2025-02-13,Printer,South,Charlie,11,619,6809
2025-03-25,Laptop,East,Bob,7,1443,10101
2025-01-30,Tablet,West,Alice,12,237,2844
2025-03-03,Smartwatch,South,Bob,10,1673,16730
2025-03-16,Headphones,Central,Diana,7,1746,12222
2025-03-30,Camera,South,Diana,13,1091,14183
2025-03-03,Laptop,North,Ethan,7,467,3269
2025-01-01,Printer,North,Ethan,8,1343,10744
2025-01-27,Headphones,West,Diana,1,1460,1460
2025-03-03,Laptop,East,Diana,10,1346,13460
2025-03-18,Laptop,West,Diana,13,1771,23023
2025-01-03,Laptop,West,Bob,10,1891,18910
2025-03-11,Camera,West,Diana,8,459,3672
2025-03-13,Smartwatch,West,Charlie,4,1020,4080
2025-01-27,Camera,Central,Alice,4,428,1712
2025-01-09,Phone,Central,Diana,4,1061,4244
2025-03-03,Headphones,South,Alice,6,562,3372
2025-02-06,Smartwatch,North,Bob,7,1045,7315
2025-02-20,Smartwatch,West,Alice,6,1062,6372
2025-02-13,Smartwatch,South,Bob,1,1684,1684
2025-01-24,Printer,North,Charlie,12,1927,23124
2025-03-20,Smartwatch,East,Bob,8,1505,12040
2025-02-28,Camera,Central,Bob,13,935,12155
2025-02-01,Smartwatch,North,Ethan,10,1713,17130
2025-03-29,Tablet,East,Diana,11,1740,19140
2025-02-21,Headphones,North,Diana,13,268,3484
2025-03-03,Smartwatch,Central,Charlie,7,316,2212
2025-02-27,Headphones,Central,Charlie,6,477,2862
2025-02-21,Tablet,South,Diana,6,218,1308
2025-01-12,Tablet,West,Ethan,5,289,1445
2025-02-08,Headphones,North,Diana,6,866,5196
2025-01-02,Laptop,North,Ethan,12,469,5628
2025-01-03,Phone,East,Charlie,9,1901,17109
2025-02-25,Printer,Central,Alice,10,248,2480
2025-03-22,Laptop,North,Charlie,9,1799,16191
2025-02-28,Laptop,Central,Charlie,10,751,7510
2025-01-02,Camera,North,Bob,8,1982,15856
2025-01-02,Printer,South,Bob,10,1611,16110
2025-02-23,Printer,West,Bob,9,869,7821
2025-03-28,Laptop,North,Bob,13,473,6149
2025-01-01,Smartwatch,Central,Ethan,10,880,8800
2025-01-19,Camera,South,Diana,8,1816,14528
2025-01-02,Camera,North,Alice,8,259,2072
2025-02-22,Tablet,East,Charlie,1,450,450
2025-02-13,Printer,West,Ethan,10,1411,14110
2025-03-31,Laptop,North,Alice,11,1411,15521
2025-02-01,Tablet,South,Ethan,5,991,4955
2025-03-11,Headphones,East,Ethan,4,1349,5396
2025-02-01,Phone,South,Charlie,2,622,1244
2025-03-09,Camera,South,Diana,8,621,4968
2025-02-24,Headphones,East,Bob,3,882,2646
2025-03-16,Headphones,South,Diana,4,372,1488
2025-02-25,Smartwatch,East,Charlie,12,1035,12420
2025-01-17,Phone,North,Charlie,7,1525,10675
2025-02-07,Headphones,East,Charlie,10,282,2820
2025-01-24,Headphones,East,Alice,9,1788,16092
2025-03-10,Phone,West,Diana,2,587,1174
2025-03-11,Phone,East,Diana,3,1950,5850
2025-03-27,Headphones,East,Ethan,4,945,3780
2025-01-11,Phone,North,Ethan,10,223,2230
2025-01-16,Headphones,West,Ethan,1,1084,1084
2025-03-14,Headphones,Central,Charlie,7,1749,12243
2025-02-28,Smartwatch,North,Diana,2,889,1778
2025-03-11,Laptop,North,Charlie,5,513,2565
2025-03-21,Headphones,Central,Alice,1,1848,1848
2025-01-03,Tablet,East,Ethan,3,1295,3885
2025-01-20,Camera,South,Charlie,12,1411,16932
2025-02-28,Printer,West,Charlie,2,1558,3116
2025-02-05,Laptop,South,Alice,1,785,785
2025-01-19,Laptop,Central,Bob,7,212,1484
2025-03-31,Laptop,North,Diana,5,987,4935
2025-03-08,Smartwatch,North,Bob,1,221,221
2025-01-19,Headphones,West,Ethan,6,1667,10002
2025-01-20,Smartwatch,North,Charlie,5,1345,6725
2025-03-12,Headphones,North,Alice,3,1754,5262
2025-02-21,Smartwatch,West,Alice,12,138,1656
2025-02-02,Smartwatch,West,Diana,7,596,4172
2025-02-09,Camera,Central,Bob,11,879,9669
2025-02-08,Tablet,North,Diana,10,1356,13560
2025-03-23,Smartwatch,North,Charlie,9,1042,9378
2025-01-01,Camera,Central,Diana,14,1653,23142
2025-01-11,Phone,East,Alice,13,248,3224
2025-02-26,Tablet,East,Alice,13,1520,19760
2025-03-30,Smartwatch,East,Ethan,9,1121,10089
2025-02-19,Printer,Central,Ethan,14,760,10640
2025-01-23,Laptop,North,Charlie,9,1761,15849
2025-01-31,Phone,Central,Bob,2,401,802
2025-02-11,Phone,Central,Diana,3,1483,4449
2025-01-07,Camera,East,Charlie,7,337,2359
2025-01-16,Phone,South,Ethan,5,746,3730
2025-03-31,Tablet,North,Diana,2,762,1524
2025-03-01,Smartwatch,East,Ethan,3,335,1005
2025-01-02,Smartwatch,South,Diana,10,1859,18590
2025-01-01,Printer,South,Bob,6,302,1812
2025-02-17,Laptop,West,Charlie,13,355,4615
2025-01-12,Camera,North,Diana,7,697,4879
2025-03-10,Laptop,South,Alice,9,761,6849
2025-02-06,Phone,East,Alice,1,334,334
2025-02-01,Printer,West,Diana,11,1468,16148
2025-01-09,Laptop,North,Diana,7,633,4431
2025-01-19,Tablet,Central,Diana,8,959,7672
2025-02-17,Smartwatch,East,Alice,12,1920,23040
2025-03-21,Phone,South,Alice,14,1904,26656
2025-01-03,Printer,South,Diana,3,1589,4767
2025-01-20,Laptop,East,Ethan,4,869,3476
2025-01-24,Camera,South,Ethan,10,640,6400
2025-02-23,Tablet,West,Bob,6,312,1872
2025-02-02,Tablet,North,Charlie,10,562,5620
2025-01-24,Laptop,West,Ethan,7,535,3745
2025-03-16,Smartwatch,South,Alice,13,382,4966
2025-03-13,Laptop,Central,Ethan,14,1685,23590
2025-02-05,Phone,North,Bob,4,1730,6920
2025-02-07,Laptop,North,Bob,8,1586,12688
2025-03-25,Tablet,East,Charlie,5,1530,7650
2025-03-30,Printer,East,Ethan,1,187,187
2025-01-25,Laptop,Central,Alice,4,1167,4668
2025-01-18,Smartwatch,North,Alice,3,560,1680
2025-03-23,Printer,Central,Diana,9,377,3393
2025-03-07,Camera,East,Alice,8,1806,14448
2025-02-23,Headphones,East,Charlie,1,520,520
2025-02-04,Laptop,North,Charlie,11,1824,20064
2025-03-21,Smartwatch,West,Alice,6,1476,8856
2025-03-02,Printer,South,Alice,9,795,7155
2025-02-10,Smartwatch,East,Diana,7,614,4298
2025-02-02,Camera,East,Alice,4,802,3208
2025-03-09,Tablet,West,Diana,13,1753,22789
2025-02-02,Smartwatch,West,Diana,1,118,118
2025-01-14,Printer,Central,Alice,12,122,1464
2025-01-21,Smartwatch,Central,Bob,2,512,1024
2025-02-17,Smartwatch,South,Bob,12,1153,13836
2025-01-20,Smartwatch,South,Diana,5,1930,9650
2025-01-08,Phone,North,Alice,12,207,2484
2025-01-07,Phone,Central,Bob,11,1490,16390
2025-03-08,Tablet,East,Alice,5,1404,7020
2025-01-17,Laptop,Central,Alice,8,1251,10008
2025-02-02,Smartwatch,East,Alice,6,1352,8112
2025-02-17,Camera,West,Ethan,8,1234,9872
2025-03-17,Laptop,Central,Alice,2,235,470
2025-02-28,Camera,West,Ethan,3,461,1383
2025-03-27,Laptop,South,Diana,6,1309,7854
2025-01-22,Tablet,South,Bob,12,1779,21348
2025-01-30,Smartwatch,North,Bob,13,1707,22191
2025-02-07,Smartwatch,Central,Bob,10,228,2280
2025-02-20,Headphones,West,Bob,3,1999,5997
2025-02-23,Camera,East,Bob,6,1384,8304
2025-01-08,Laptop,South,Bob,6,614,3684
2025-01-27,Laptop,South,Bob,2,548,1096
2025-01-27,Phone,East,Diana,7,1227,8589
2025-01-21,Headphones,West,Alice,12,1606,19272
2025-01-30,Printer,West,Charlie,2,1347,2694
2025-01-28,Printer,Central,Ethan,6,1955,11730
2025-03-05,Phone,Central,Charlie,1,973,973
2025-03-10,Phone,North,Charlie,3,1989,5967
2025-03-02,Phone,South,Alice,2,1614,3228
2025-02-17,Camera,Central,Alice,7,572,4004
2025-01-19,Camera,West,Alice,14,1133,15862
2025-01-04,Tablet,East,Bob,4,1528,6112
2025-02-04,Tablet,West,Diana,8,401,3208
2025-03-05,Phone,South,Bob,6,330,1980
2025-02-18,Headphones,West,Diana,12,1854,22248
2025-01-17,Laptop,North,Diana,10,1022,10220
2025-02-13,Camera,South,Charlie,4,1189,4756
2025-01-30,Headphones,East,Charlie,5,1036,5180
2025-02-15,Smartwatch,North,Diana,13,211,2743
2025-01-06,Camera,South,Diana,13,1136,14768
2025-02-06,Camera,East,Bob,9,1516,13644
2025-01-24,Tablet,North,Bob,7,599,4193
2025-02-15,Laptop,North,Charlie,10,1031,10310
2025-02-22,Laptop,South,Alice,14,697,9758
2025-03-01,Printer,Central,Diana,14,333,4662
2025-03-04,Printer,North,Bob,9,701,6309
2025-03-26,Printer,North,Charlie,7,413,2891
2025-02-01,Printer,East,Bob,12,665,7980
2025-03-28,Smartwatch,West,Diana,1,1135,1135
2025-02-02,Smartwatch,South,Diana,12,308,3696
2025-03-08,Camera,South,Ethan,8,1137,9096
2025-01-18,Phone,Central,Alice,4,1756,7024
2025-01-25,Tablet,Central,Ethan,3,1541,4623
2025-02-23,Tablet,South,Charlie,14,1560,21840
2025-02-27,Printer,Central,Bob,13,1500,19500
2025-03-08,Camera,East,Charlie,7,1143,8001
2025-02-15,Headphones,South,Diana,12,686,8232
2025-01-24,Phone,Central,Ethan,3,1878,5634
2025-02-01,Camera,South,Ethan,8,1858,14864
2025-02-16,Phone,West,Ethan,6,1114,6684
2025-03-27,Phone,North,Charlie,5,1193,5965
2025-01-23,Phone,South,Diana,4,1947,7788
2025-03-07,Camera,North,Bob,8,1334,10672
2025-01-27,Printer,Central,Bob,8,1224,9792
2025-01-02,Tablet,North,Charlie,12,797,9564
2025-03-31,Tablet,South,Ethan,1,231,231
2025-01-17,Printer,West,Alice,9,1746,15714
2025-02-02,Phone,Central,Charlie,14,1504,21056
2025-01-09,Headphones,South,Charlie,5,1255,6275
2025-02-12,Laptop,Central,Diana,4,1143,4572
2025-02-17,Camera,East,Bob,6,635,3810
2025-02-08,Laptop,North,Charlie,6,1113,6678
2025-02-11,Printer,East,Charlie,2,326,652
2025-01-26,Headphones,South,Ethan,8,1277,10216
2025-02-19,Camera,West,Ethan,7,1928,13496
2025-01-25,Printer,Central,Alice,1,1865,1865
2025-01-24,Phone,North,Diana,5,1592,7960
2025-01-13,Tablet,Central,Alice,12,921,11052
2025-03-01,Laptop,South,Ethan,6,970,5820
2025-01-07,Smartwatch,Central,Bob,4,504,2016
2025-02-26,Smartwatch,North,Ethan,2,301,602
2025-02-05,Headphones,South,Diana,13,137,1781
2025-02-14,Phone,Central,Ethan,14,1041,14574
2025-01-20,Laptop,West,Diana,4,1895,7580
2025-03-06,Phone,South,Diana,1,287,287
2025-01-08,Laptop,South,Diana,7,1180,8260
2025-01-16,Headphones,West,Diana,2,1040,2080
2025-01-14,Headphones,East,Diana,13,1143,14859
2025-03-17,Smartwatch,North,Bob,2,372,744
2025-03-28,Phone,East,Alice,9,1242,11178
2025-01-15,Camera,Central,Charlie,5,682,3410
2025-03-07,Smartwatch,West,Alice,2,615,1230
2025-02-01,Phone,East,Diana,11,1344,14784
2025-03-28,Smartwatch,South,Bob,9,625,5625
2025-03-04,Camera,Central,Ethan,9,1638,14742
2025-03-27,Tablet,Central,Bob,1,1851,1851
2025-02-20,Tablet,East,Diana,11,1864,20504
2025-01-25,Tablet,East,Bob,3,435,1305
2025-02-27,Tablet,West,Bob,4,797,3188
2025-03-04,Printer,North,Diana,14,1178,16492
2025-03-03,Laptop,East,Bob,7,599,4193
2025-01-22,Printer,East,Charlie,10,999,9990
2025-02-27,Printer,South,Charlie,4,865,3460
2025-02-27,Printer,Central,Bob,2,635,1270
2025-03-27,Tablet,North,Ethan,7,261,1827
2025-02-18,Camera,South,Diana,6,1793,10758
2025-02-21,Headphones,West,Charlie,3,693,2079
2025-02-11,Headphones,West,Ethan,6,258,1548
2025-03-11,Laptop,East,Bob,11,1311,14421
2025-01-15,Tablet,East,Ethan,6,159,954
2025-02-23,Tablet,West,Alice,12,1014,12168
2025-03-01,Tablet,East,Charlie,5,1940,9700
2025-01-08,Smartwatch,North,Bob,4,1442,5768
2025-02-22,Phone,East,Diana,10,310,3100
2025-03-01,Smartwatch,Central,Bob,12,505,6060
2025-01-05,Phone,East,Diana,1,763,763
2025-03-09,Tablet,South,Bob,10,1232,12320
2025-01-06,Tablet,North,Ethan,6,1199,7194
2025-02-16,Smartwatch,South,Ethan,2,641,1282
2025-02-24,Smartwatch,South,Ethan,13,1437,18681
2025-02-09,Phone,Central,Alice,3,1097,3291
2025-02-21,Headphones,North,Diana,14,1240,17360
2025-01-16,Phone,North,Ethan,8,1026,8208
2025-01-13,Smartwatch,North,Alice,10,967,9670
2025-01-30,Camera,North,Diana,14,1827,25578
2025-01-19,Smartwatch,North,Bob,14,118,1652
2025-01-17,Camera,Central,Alice,6,531,3186
2025-03-04,Laptop,East,Charlie,3,1808,5424
2025-01-19,Smartwatch,South,Alice,7,839,5873
2025-02-27,Laptop,North,Alice,4,1473,5892
2025-02-24,Headphones,East,Diana,14,282,3948
2025-03-31,Phone,East,Bob,9,212,1908
2025-03-31,Camera,South,Charlie,5,1306,6530
2025-03-03,Phone,Central,Ethan,3,580,1740
2025-01-23,Laptop,West,Ethan,2,1269,2538
2025-01-09,Camera,West,Alice,11,930,10230
2025-01-12,Phone,East,Diana,2,1751,3502
2025-01-01,Smartwatch,South,Diana,3,1236,3708
2025-02-27,Tablet,West,Ethan,2,862,1724
2025-01-01,Laptop,East,Charlie,14,575,8050
2025-02-03,Phone,Central,Bob,4,862,3448
2025-02-17,Laptop,West,Charlie,2,1426,2852
2025-03-30,Printer,East,Bob,10,1070,10700
2025-01-01,Laptop,East,Ethan,9,1948,17532
2025-01-16,Camera,North,Bob,2,1119,2238
2025-03-02,Printer,Central,Diana,9,1241,11169
2025-03-05,Camera,North,Alice,13,1936,25168
2025-03-04,Tablet,South,Alice,6,260,1560
2025-03-10,Printer,North,Ethan,1,500,500
2025-01-22,Smartwatch,North,Diana,4,297,1188
2025-03-08,Laptop,West,Charlie,14,1383,19362
2025-03-17,Phone,East,Diana,1,759,759
2025-01-26,Headphones,Central,Alice,14,1875,26250
2025-01-16,Laptop,North,Alice,6,1170,7020
2025-02-20,Laptop,Central,Diana,14,498,6972
2025-03-27,Tablet,North,Diana,13,1833,23829
2025-02-26,Smartwatch,South,Alice,4,1682,6728
2025-01-29,Headphones,North,Charlie,3,177,531
2025-03-19,Printer,West,Ethan,3,223,669
2025-03-10,Printer,East,Ethan,9,174,1566
2025-02-16,Printer,South,Diana,6,1994,11964
2025-03-03,Camera,North,Ethan,9,236,2124
2025-03-10,Camera,Central,Alice,13,701,9113
2025-03-17,Phone,South,Alice,5,1523,7615
2025-01-16,Headphones,South,Diana,2,936,1872
2025-03-31,Printer,North,Diana,8,1628,13024
2025-03-31,Camera,South,Diana,5,599,2995
2025-02-17,Phone,Central,Charlie,2,1696,3392
2025-03-26,Smartwatch,South,Ethan,4,237,948
2025-02-08,Phone,Central,Diana,9,149,1341
2025-02-02,Camera,North,Bob,4,1894,7576
2025-01-23,Tablet,East,Bob,13,1072,13936
2025-01-10,Tablet,South,Alice,12,1742,20904
2025-03-10,Printer,East,Ethan,12,1748,20976
2025-02-03,Tablet,Central,Diana,12,1985,23820
2025-02-21,Printer,South,Bob,13,353,4589
2025-01-10,Printer,West,Ethan,14,1753,24542
2025-01-19,Camera,East,Alice,4,809,3236
2025-02-27,Tablet,South,Charlie,2,1972,3944
2025-01-01,Printer,East,Ethan,13,662,8606
2025-03-10,Headphones,South,Ethan,12,856,10272
2025-01-04,Smartwatch,North,Charlie,6,1549,9294
2025-01-16,Phone,East,Ethan,13,646,8398
2025-01-24,Phone,West,Alice,11,1425,15675
2025-03-21,Camera,West,Alice,14,1021,14294
2025-01-02,Tablet,Central,Charlie,2,680,1360
2025-02-01,Tablet,South,Diana,12,1472,17664
2025-03-25,Printer,East,Bob,7,1955,13685
2025-01-24,Laptop,Central,Diana,3,148,444
2025-01-12,Printer,East,Ethan,3,1016,3048
2025-02-19,Smartwatch,South,Bob,5,1197,5985
2025-02-04,Headphones,West,Charlie,3,803,2409
2025-02-02,Phone,North,Charlie,2,360,720
2025-02-02,Printer,West,Bob,10,455,4550
2025-03-02,Laptop,Central,Alice,9,1705,15345
2025-02-20,Laptop,North,Bob,2,1725,3450
2025-02-12,Printer,Central,Ethan,14,1383,19362
2025-01-12,Camera,South,Alice,11,737,8107
2025-03-08,Phone,North,Charlie,2,842,1684
2025-03-06,Camera,Central,Bob,13,1418,18434
2025-02-02,Headphones,South,Diana,8,1109,8872
2025-02-09,Laptop,West,Diana,9,1030,9270
2025-03-15,Laptop,South,Ethan,7,740,5180
2025-02-12,Smartwatch,East,Diana,3,891,2673
2025-02-13,Headphones,South,Bob,9,1436,12924
2025-01-29,Laptop,South,Bob,3,711,2133
